"","Task","Muscle","Mean_Dif","SD_Dif","Min_Dif","Max_Dif"
"144","task04","Middle Latissimus Dorsi",1.85660782640422,1.80751972102007,0.00384150290850016,15.9327851056791
"145","task04","Middle Pectoralis Major",0.538105055679834,0.518618551142382,0.000231497381091536,3.79634652701205
"146","task04","Middle Serratus Anterior",0.49411456395211,0.49964406556593,0.000102982404810406,3.17222725545162
"147","task04","Middle Subscapularis",13.3360292438193,7.82517614465793,0.0358835781311981,54.4329881097204
"148","task04","Middle Trapezius, Scapula",1.55066365362607,1.68105653335698,0.000823693047975772,16.1215038919789
"149","task04","Pectoralis Minor",14.7297248484102,15.1347395655811,0.00666429762049958,74.1685471518889
"150","task04","Posterior Deltoid",7.43592594606789,5.00335997440858,3.1193369897764e-05,40.0599205004334
"151","task04","Posterior Supraspinatus",5.87103099136515,6.63593048152311,0.00115922977437213,60.8068260685079
"152","task04","Pronator Quadratus",14.0080720631728,8.47690954868053,0.0146569850971972,43.4046088068566
"153","task04","Pronator Teres, Humeral",12.3342606844021,7.85586948325891,0.00800165200350023,45.2079705400357
"154","task04","Pronator Teres, Ulnar",6.50135526134264,6.85686342726361,0.0170843007314998,67.5741495416794
"155","task04","Superior Infraspinatus",3.56207669504799,3.68853960464195,0.0020132734214532,28.9384081704658
"156","task04","Superior Latissimus Dorsi",16.7024646540081,4.31334297549409,0.180670562621401,21.4510825651448
"157","task04","Superior Pectoralis Major",0.600012157830052,0.62549027419004,0.000555865430678079,4.15868837284772
"158","task04","Superior Rhombiod",1.20095425974963,1.13109272870314,5.3587776761628e-05,8.10586917733049
"159","task04","Superior Serratus Anterior",1.94287075809354,2.0012570712953,2.61231295210288e-05,16.8687216921198
"160","task04","Superior Subscapularis",4.78862538025513,5.97445649585945,0.00600626543885063,47.88279274457
"161","task04","Superior Trapezius, Scapula",7.84584207226209,4.00926519942134,0.0197007477647793,18.198510017838
"162","task04","Supinator",2.24649042080745,2.40229975425522,0.000321161607594391,23.1532104708556
"163","task04","Teres Major",13.6593124267967,9.8554785019618,0.00676990635869856,46.9596476191525
"164","task04","Teres Minor",3.30060888679988,3.64133526190565,0.00267959749187017,24.7498627381822
"165","task04","Trapezius, Clavicle",6.27582351429024,6.88006213954275,0.00328242909992368,60.2800193063168
"166","task04","Triceps Lateral Head",12.2640555353742,8.81538302020491,0.0106049356502993,69.5793239661704
"167","task04","Triceps Long Head",14.0022262613856,8.88419194573774,0.0224753351872025,42.989299540085
"168","task04","Triceps Medial Head",14.3983766968295,9.54166151229993,0.00523452935150104,63.257401701235
"169","task05","Anconeus",5.08072165677876,5.67353050229481,0.00139213460027487,52.5169713338194
"170","task05","Anterior Deltoid",2.06855770710471,2.14514867448808,0.000327008824254194,18.9735293854991
"171","task05","Anterior Supraspinatus",4.95014887372903,4.62227311995576,0.0075817299153389,48.4585205452091
"172","task05","Biceps Long Head",8.1313478365184,7.14842503566837,0.0313389032199982,50.8112122405105
"173","task05","Biceps Short Head",7.73952984614309,4.63796378550089,0.00733725373340022,31.2483177171484
"174","task05","Brachialis",6.31012604150207,7.26921842820355,6.7809963169907e-05,43.5906597531901
"175","task05","Brachioradialis",5.64077064584256,7.06894080544577,0.00202048082567008,51.2707232567499
"176","task05","Coracobrachialis",6.6377866968974,3.48083132366799,0.00251126472570107,27.7656573426391
"177","task05","Inferior Infraspinatus",9.24679495479152,6.68563755255032,0.00225768235799784,39.3095127123443
"178","task05","Inferior Latissimus Dorsi",2.26109581034964,2.54066801944821,0.0012462144513473,22.1830109676355
"179","task05","Inferior Pectoralis Major",0.661060813337243,0.711431149298319,1.29063520406491e-06,4.96869273367498
"180","task05","Inferior Rhombiod",1.09079607205187,1.14885631365747,0.000502823835331997,7.61740448304104
"181","task05","Inferior Serratus Anterior",4.44422607352504,2.51435124027144,0.00821915922220029,14.8580792549865
"182","task05","Inferior Subscapularis",3.69867740854552,4.09040575394244,0.000913025705259345,29.6243930591345
"183","task05","Inferior Trapezius, Scapula",3.75229313419965,4.0907375211482,0.00207785677118107,32.150109846829
"184","task05","Levator Scapula",1.35750941249379,1.56933049280229,0.0019298777292204,13.1463802793376
"185","task05","Middle Deltoid",3.7898038391402,2.85248945726761,0.00426220041380176,16.5607378942142
"186","task05","Middle Latissimus Dorsi",1.93152850057014,2.15213565030468,0.000170485050752455,16.7683171446257
"187","task05","Middle Pectoralis Major",1.37904395388382,1.46391524349504,0.00069002168856546,13.7379828787101
"188","task05","Middle Serratus Anterior",3.03478552360756,3.56126119433263,0.000835427155221407,35.8272232073165
"189","task05","Middle Subscapularis",4.12603983167027,4.6795094699893,0.00231092272982097,30.3354825590857
"190","task05","Middle Trapezius, Scapula",1.52035482139335,1.56209492201682,0.00112441934328134,14.4213489154634
"191","task05","Pectoralis Minor",11.2706312851891,5.79636571319823,0.0329394117027952,63.9130436624319
"192","task05","Posterior Deltoid",3.37430438012606,3.55857966798002,0.0031548348988092,24.4958277790525
"193","task05","Posterior Supraspinatus",5.08519387936407,6.87463965798246,0.00392391390202951,68.4483766250168
"194","task05","Pronator Quadratus",4.71535663380014,4.74997958477738,0.00183789467225079,34.9985545833356
"195","task05","Pronator Teres, Humeral",4.05808583827582,4.70735039856882,0.00309223753568011,39.178657400641
"196","task05","Pronator Teres, Ulnar",5.39645266773312,5.95321921111767,0.00018819135997511,55.0864168560708
"197","task05","Superior Infraspinatus",9.88534592642454,7.96118502754707,0.0120779192380986,55.3079981988822
"198","task05","Superior Latissimus Dorsi",2.40909016792816,2.57500798792865,8.31921203546048e-05,17.5771748376616
"199","task05","Superior Pectoralis Major",2.0931709762117,2.22274328197273,0.00130211661692806,17.5107625721738
"200","task05","Superior Rhombiod",0.724542577332164,0.753192159961198,7.96589792210086e-05,6.04163034870253
"201","task05","Superior Serratus Anterior",2.40211055363764,2.52596256060083,0.00220385882326362,23.8464309506603
"202","task05","Superior Subscapularis",4.9705864048587,5.77603822795337,0.00168406904365491,61.9845821357131
"203","task05","Superior Trapezius, Scapula",0.761280303260506,0.84537328695054,5.08113049581287e-05,8.73492440729443
"204","task05","Supinator",3.83109343988225,3.7612329837862,0.00042398811206457,21.628856928671
"205","task05","Teres Major",2.47770970425919,2.85069192153091,0.000425125565629964,29.0581762416252
